Model,Params,GFLOPs,Latency ms,Accuracy mean,Accuracy SD,Balanced mean,Balanced SD,Macro-F1 mean,Macro-F1 SD
"MST-CNN 0.5 M, unweighted",551144,0.395355136,2.06950252003935,66.67864840820916,2.567838590106187,54.384719316005345,3.430712675321753,55.46858198639527,3.116221339613071
"MST-CNN 5 M, unweighted",4956614,2.0346916,3.3419767599934858,69.9925773592909,1.993242300626769,57.203169323656034,3.1313934282618043,58.72027641589928,2.842823905876098
"MST-CNN 20 M, unweighted",19936294,4.2119268,5.8123583599990525,70.22592932318608,1.720107958768199,58.269766104375876,2.1773336422611376,59.68098273684787,2.0158139058307376
"MST-CNN 83 M, unweighted (seed 42)",83080458,7.063502864,8.314596179997693,70.23346438781435,1.8683972696665367,58.38472761444361,2.701782178899013,59.70116772313758,2.5404986038282935
"MST-CNN 83 M, effective CE (seed 42)",83080458,7.063502864,8.979115320125857,67.73989491737105,2.6124419366455327,58.89803468934702,2.7625116265539837,58.646059975553214,2.901202398887203
"EEGNet, effective CE",3412,0.043488768,0.4736731599950872,53.00828220312649,4.084268969171528,44.99502504341765,4.588793793880415,43.29772111538268,4.262136230983415
"ShallowConvNet, effective CE",109404,0.20501664,0.5242254600216256,63.44328554929742,4.192307219868969,54.58560350376162,3.108939660436342,53.77602685765848,2.962560436069477
"DeepConvNet1D, effective CE",1062276,0.398491648,0.8965930899285013,51.400342798448015,11.993406126071495,49.9502382786963,13.578742490189136,44.172459565952316,14.174839304393341
"ResNet1D, effective CE",1949316,0.581961728,1.581272859875753,49.19951063075176,4.466667961581376,34.83586246487076,2.8185574968180167,33.77929057519262,2.769631500155494
