model,imbalance,seeds_completed,accuracy_mean_across_seeds,accuracy_mean_seed_sd,balanced_accuracy_mean_across_seeds,balanced_accuracy_mean_seed_sd,macro_f1_mean_across_seeds,macro_f1_mean_seed_sd,latency_ms_batch1_across_seeds,latency_ms_batch1_seed_sd,parameters,flops_per_sample
deepconvnet1d,effective_ce,1,0.5140034279844802,0.0,0.49950238278696296,0.0,0.44172459565952316,0.0,0.8965930899285013,0.0,1062276,398491648
eegnet,effective_ce,1,0.5300828220312649,0.0,0.44995025043417647,0.0,0.43297721115382676,0.0,0.4736731599950872,0.0,3412,43488768
mstcnn_0_5m,none,1,0.6667864840820915,0.0,0.5438471931600535,0.0,0.5546858198639527,0.0,2.06950252003935,0.0,551144,395355136
mstcnn_20m,none,1,0.7022592932318608,0.0,0.5826976610437588,0.0,0.5968098273684787,0.0,5.8123583599990525,0.0,19936294,4211926800
mstcnn_5m,none,1,0.6999257735929091,0.0,0.5720316932365603,0.0,0.5872027641589928,0.0,3.3419767599934858,0.0,4956614,2034691600
mstcnn_83m,effective_ce,3,0.6773778041982871,0.0016787449196838879,0.5871738194338912,0.002857551895225573,0.5849726755896507,0.0010648594620622264,8.67336597337328,0.21889924925126197,83080458,7063502864
mstcnn_83m,none,3,0.6982936946460985,0.0035665547600271593,0.5773964531247753,0.004920199904473157,0.5909528711824591,0.004790019287323871,8.663191713357605,0.37620432346876703,83080458,7063502864
resnet1d,effective_ce,1,0.49199510630751764,0.0,0.3483586246487076,0.0,0.3377929057519262,0.0,1.581272859875753,0.0,1949316,581961728
shallowconvnet,effective_ce,1,0.6344328554929742,0.0,0.5458560350376161,0.0,0.5377602685765848,0.0,0.5242254600216256,0.0,109404,205016640
