run,subject_id,n_trials,held_out_sample_signature,accuracy,balanced_accuracy,macro_f1
baseline_csp_lda,35,156,1cbec336ef4d6d2e6e3bfec0b90fd322be71757b3d9c5c3ed0dba897e5a59947,0.5769230769230769,0.25,0.18292682926829268
baseline_csp_lda,36,158,67afb2a1ac68e66a76f56157b4eb4a8ccea4fbeafc5864d1951d4b9c9640621c,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,37,154,5fdc52b1f738a00655c51cfce62ff37250f0f630e83874560d991b81f5042052,0.43506493506493504,0.2633838383838384,0.21248674443266172
baseline_csp_lda,38,157,87a1d240786fb6c821fe2efb5e0884f625290c8b28280c98e0cac146d0b7877d,0.5732484076433121,0.25,0.18218623481781376
baseline_csp_lda,39,157,19343df9087950448f724ef134bb9d10feb9e09568652d777e0fcdc9a79c5d3a,0.5732484076433121,0.25,0.18218623481781376
baseline_csp_lda,40,158,78f3dca5442ed8ddd771eb796512543084c6e72a99cedfc27df7c7604d339492,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,41,156,b9866128581e65f35eed50264dd210b1a57901efac94cc77d1923a942ae16db6,0.5769230769230769,0.25,0.18292682926829268
baseline_csp_lda,42,156,fc9cc0311ad3daa5f95c40ef97aa6cd6907edb2e7d4ac6eed359e3d51478fff3,0.5769230769230769,0.25,0.18292682926829268
baseline_csp_lda,44,157,32d4c889b4881f2bbbb8b9722cb77d3d16830331dbaed85ffa3d08aa2ccdf61c,0.5732484076433121,0.25,0.18218623481781376
baseline_csp_lda,45,156,c09ea4e8e6628680a0ba0c5a5c4d3cbb9097f4a09c7136ce7d68d48f3ffc473e,0.5769230769230769,0.25,0.18292682926829268
baseline_csp_lda,46,158,fb06a9ac7cfc6811fbe7741889c1c04f0bed554464c0c0174dfb107c337e92e3,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,47,157,0c35844343f8be723cf34d9de36d74c4153edb2508e14229393fe07fcf9709ad,0.5605095541401274,0.25357142857142856,0.19901234567901233
baseline_csp_lda,48,156,327b38709d868763426f7822b69d00eae0669885e3d2d3add965ee7cb49bfefe,0.5769230769230769,0.25,0.18292682926829268
baseline_csp_lda,49,159,4d3f3f9e0f79dd0349c651d437d2dd8849332674e474a5ae0b0f4cd3c910a1ef,0.5660377358490566,0.25,0.18072289156626506
baseline_csp_lda,50,156,4e92b41704b5b076a289095a671d4eddc263fa05f0da778dc0c65f43590a95af,0.5769230769230769,0.25,0.18292682926829268
baseline_csp_lda,51,159,46d293cd1e6059fb96793e365441ab67bb8aacb55d00267561490e53e05f50aa,0.5660377358490566,0.25,0.18072289156626506
baseline_csp_lda,52,158,254bf46edda4932d2f4e1f41b13a6513e0ee840ed6191897591e7a586d60b752,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,53,157,cedcb780f1d8977227578d3e87c925f4436464d550bff06fdc1244423191cc50,0.5732484076433121,0.25,0.18218623481781376
baseline_csp_lda,54,157,ae34fb9ac704529e79fb38d78efbec878f3138a8c368ceeb8a83f0349bcce86a,0.5732484076433121,0.25,0.18218623481781376
baseline_csp_lda,55,157,a7629f4527bc1b1e562477afb986e82295ec09fd3fed91b59c36cfba8e6d3ead,0.5732484076433121,0.25,0.18218623481781376
baseline_csp_lda,56,157,143be3c310281cf95d243c515106a993bc5e303ff855b6018da11db4493b7009,0.5796178343949044,0.2608695652173913,0.20376016260162602
baseline_csp_lda,57,158,560bb705274959f046b113aa30e4267cdf67bfe39baafbd463b40059085f2dc3,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,58,157,ee221c396349fd192f4b6561d87571bda83f4644ddc505197460f8d978d9f7f5,0.554140127388535,0.2507936507936508,0.19733893557422968
baseline_csp_lda,59,158,50106a38a71ff293bb4192dd480e38e9932bc4a544c19bccb71410e1a1ccec8e,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,60,159,a3a1c3b0b4a609dd3af8aec6d657a81eeb1a579ab2e54d6dbbb84fb376be9732,0.5660377358490566,0.25,0.18072289156626506
baseline_csp_lda,61,156,ed0ce21af41cd8430d058fdad11c4f21b71636e54a1def8671d304ccc49e5b08,0.5769230769230769,0.25,0.18292682926829268
baseline_csp_lda,62,157,e6cffdcb1d55c69c4a2717074ddd09722e4309abce7667bbff6bd6e8e4702230,0.5732484076433121,0.25,0.18218623481781376
