run,metric,n_subjects,mean,sd,median,q1,q3,iqr,minimum,maximum
baseline_csp_lda,accuracy,103,0.565667079498202,0.04473352609182236,0.569620253164557,0.569620253164557,0.5732484076433121,0.0036281544787550857,0.1503267973856209,0.5909090909090909
baseline_csp_lda,balanced_accuracy,103,0.2507578079839583,0.004860339739762135,0.25,0.25,0.25,0.0,0.2265873015873016,0.27248572683355293
baseline_csp_lda,macro_f1,103,0.18376171472657585,0.013797564369223301,0.18218623481781376,0.1814516129032258,0.18292682926829268,0.001475216365066867,0.07750478424594111,0.23400560224089634
kernel_k11,accuracy,103,0.6936324791017635,0.09329284319370433,0.6962025316455697,0.6329113924050633,0.7531645569620253,0.120253164556962,0.4267515923566879,0.9113924050632911
kernel_k11,balanced_accuracy,103,0.5747279981872636,0.134906468732826,0.5684998274672188,0.48176328502415455,0.6561139343748039,0.17435064935064937,0.31391084760649973,0.8782169521299956
kernel_k11,macro_f1,103,0.5776598536730703,0.13271976004917063,0.5828148728280337,0.49448515201062415,0.6548170654639912,0.16033191345336706,0.30256876115285175,0.8863300850559633
kernel_k11_13,accuracy,103,0.6971711243992066,0.09059346755222915,0.7025316455696202,0.6444408610819963,0.7523584905660378,0.10791762948404149,0.46405228758169936,0.9430379746835443
kernel_k11_13,balanced_accuracy,103,0.5721197075988128,0.1313707602499628,0.5673317021143107,0.4744290733421168,0.6512145915678524,0.17678551822573563,0.31556324110671935,0.9092775581906017
kernel_k11_13,macro_f1,103,0.5758450242983216,0.13045802089645767,0.5745030309187579,0.4831971151007184,0.6608647541240897,0.17766763902337135,0.31166587036152255,0.9275896025896025
kernel_k13,accuracy,103,0.6937986716399609,0.09123246873416166,0.6987179487179487,0.6378020713463751,0.7531645569620253,0.11536248561565021,0.4840764331210191,0.8860759493670886
kernel_k13,balanced_accuracy,103,0.5721143854269646,0.1284421852874478,0.5742063492063492,0.4729548983625071,0.6498666792145054,0.17691178085199827,0.3013916337285903,0.8832894158981116
kernel_k13,macro_f1,103,0.5754741894108942,0.12953927561657205,0.5766153024806129,0.49641940720569755,0.6608004903411786,0.16438108313548105,0.29534455376039537,0.8658770528972222
kernel_k7,accuracy,103,0.6935627836932905,0.09228349197300462,0.7006369426751592,0.6222181906144171,0.755563618771166,0.13334542815674888,0.47770700636942676,0.9240506329113924
kernel_k7,balanced_accuracy,103,0.5632638458699033,0.13588628508506337,0.5645037329819939,0.46347167325428196,0.6357329114122592,0.17226123815797723,0.3235617039964866,0.9090360122968819
kernel_k7,macro_f1,103,0.5697700431773902,0.1361353019499185,0.5699370709382151,0.4659209443447393,0.6505323606335585,0.18461141628881916,0.2979942511192511,0.912584407612032
kernel_k7_13,accuracy,103,0.697058413166929,0.08800580911890583,0.6923076923076923,0.6349177552007741,0.7587277271627832,0.12380997196200916,0.46496815286624205,0.9240506329113924
kernel_k7_13,balanced_accuracy,103,0.5703629226291742,0.1319865010434658,0.5585529205094423,0.47062472551602985,0.6513512453729844,0.18072651985695454,0.3176054018445323,0.9090360122968819
kernel_k7_13,macro_f1,103,0.5747672162481529,0.13086104047243433,0.5690936909881009,0.4848971620275172,0.6731266920097231,0.18822952998220588,0.31364848770650827,0.9085375026864388
kernel_k7_9,accuracy,103,0.6971533969724663,0.09174393080532306,0.6981132075471698,0.6401330736773775,0.7532056551043893,0.11307258142701182,0.4394904458598726,0.930379746835443
kernel_k7_9,balanced_accuracy,103,0.5699183423513311,0.13174749168836833,0.564064558629776,0.46429198820503165,0.6384712811343246,0.17417929292929296,0.29370882740447957,0.9042160737812912
kernel_k7_9,macro_f1,103,0.5763242514464013,0.13081349903490383,0.5761064440806248,0.4846059507254039,0.6527456882483884,0.1681397375229845,0.28082251082251086,0.9093914237935977
kernel_k7_9_11,accuracy,103,0.6930345887859402,0.08902919977222731,0.689873417721519,0.6360814004726996,0.7468354430379747,0.1107540425652751,0.45222929936305734,0.9493670886075949
kernel_k7_9_11,balanced_accuracy,103,0.5733521901155924,0.1329207344164739,0.5629148629148628,0.47399930986887506,0.654137453729845,0.18013814386096993,0.30789415898111544,0.9449165568730787
kernel_k7_9_11,macro_f1,103,0.5758385001729904,0.13013341397849254,0.5734615794806164,0.49206932045474744,0.6555715367984736,0.16350221634372614,0.3085699149358262,0.9449165568730787
kernel_k7_9_11_13,accuracy,103,0.7021881626060971,0.09038248367343649,0.7051282051282052,0.6360814004726996,0.7626582278481013,0.12657682737540177,0.5094339622641509,0.8987341772151899
kernel_k7_9_11_13,balanced_accuracy,103,0.5833814727203288,0.13412489185243331,0.5861001317523057,0.4887677238220717,0.6700977162933685,0.18132999247129677,0.2902695432586737,0.8959486166007906
kernel_k7_9_11_13,macro_f1,103,0.5863595246296984,0.13239790968874982,0.5964498202026806,0.5028730974846749,0.683851469312829,0.18097837182815413,0.28543602524571815,0.8775742079150448
kernel_k9,accuracy,103,0.6858341292234047,0.09242993199804123,0.6928104575163399,0.6282051282051282,0.7460291864871402,0.11782405828201203,0.4968152866242038,0.9050632911392406
kernel_k9,balanced_accuracy,103,0.5718516003367207,0.13323352135716832,0.5690021331325679,0.4843091238471673,0.6459770452976974,0.1616679214505301,0.3222249670619236,0.8789635485287659
kernel_k9,macro_f1,103,0.5739931872947484,0.13076614186047766,0.5822860672315348,0.471683277008345,0.6465359844865541,0.17485270747820914,0.31344272254160055,0.8827589077589078
kernel_k9_11,accuracy,103,0.6951060881003815,0.08844897693576627,0.6923076923076923,0.6444408610819963,0.7555430137869871,0.1111021527049908,0.4713375796178344,0.8860759493670886
kernel_k9_11,balanced_accuracy,103,0.5717714898487376,0.1277419403710375,0.5664141414141414,0.4752548779722693,0.6553069515026037,0.18005207353033437,0.31482762406675446,0.8837834870443566
kernel_k9_11,macro_f1,103,0.5762082789640354,0.12668287797759845,0.5748115696250236,0.4790701380233894,0.6623733232417912,0.18330318521840183,0.3154727898630338,0.863448596017919
window_0_2,accuracy,103,0.6923011380483466,0.08667210293691875,0.6878980891719745,0.6329113924050633,0.7563291139240507,0.12341772151898733,0.5094339622641509,0.9240506329113924
window_0_2,balanced_accuracy,103,0.5718747810980821,0.1329393904860932,0.5579380764163373,0.4891992518351214,0.6676054018445323,0.1784061500094109,0.3041474527887571,0.9095300834431269
window_0_2,macro_f1,103,0.5741651556280182,0.12815023712742518,0.5667428861788617,0.49384805600243387,0.6761286830217008,0.18228062701926695,0.3060979791981141,0.9127563396988577
window_0_3,accuracy,103,0.7001740745350491,0.09124338942942901,0.7088607594936709,0.6317624768201242,0.7579617834394905,0.1261993066193663,0.5159235668789809,0.8987341772151899
window_0_3,balanced_accuracy,103,0.5775547681177692,0.13717839740805512,0.5663239538239538,0.4720712560386473,0.6734464207290294,0.20137516469038208,0.29978041282389106,0.9226943346508564
window_0_3,macro_f1,103,0.5801674785364029,0.13648935535945803,0.5727378759975444,0.47780137669422906,0.6740478896191221,0.19624651292489304,0.28080547112462007,0.8787370600414078
window_1_4,accuracy,103,0.4856034406837298,0.07113301850338845,0.4968152866242038,0.4416447735052942,0.5365032653390309,0.09485849183373674,0.29936305732484075,0.6242038216560509
window_1_4,balanced_accuracy,103,0.3196198248541009,0.049716080454044895,0.31784694773825206,0.28552371541501975,0.3510759771629337,0.06555226174791395,0.21783596837944666,0.5325208607817303
window_1_4,macro_f1,103,0.3128686168568643,0.05141084121592817,0.3093401177015612,0.2790093691074796,0.34479049529401373,0.06578112618653414,0.21674081662982886,0.523358528019545
